<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.04	11:45:00	5182.54	5184.86	5175.86	5182.17	2715	0	34
2026.03.04	12:00:00	5182.19	5197.95	5182.19	5197.79	3959	0	34
2026.03.04	12:15:00	5197.81	5202.46	5186.80	5188.23	3827	0	34
2026.03.04	12:30:00	5188.33	5191.06	5179.59	5185.41	3152	0	34
2026.03.04	12:45:00	5185.42	5193.70	5181.39	5189.75	2399	0	34
2026.03.04	13:00:00	5189.74	5196.32	5187.73	5194.95	2060	0	34
2026.03.04	13:15:00	5194.96	5197.53	5190.21	5194.88	2195	0	34
2026.03.04	13:30:00	5194.86	5200.56	5190.84	5192.95	2528	0	34
2026.03.04	13:45:00	5192.94	5194.23	5187.63	5192.08	2306	0	34
2026.03.04	14:00:00	5192.10	5205.95	5192.08	5197.48	3180	0	34
2026.03.04	14:15:00	5197.53	5197.72	5174.16	5178.20	4123	0	35
2026.03.04	14:30:00	5178.19	5178.28	5156.25	5166.83	4635	0	34
2026.03.04	14:45:00	5165.54	5173.11	5159.69	5171.05	3476	0	34
2026.03.04	15:00:00	5171.14	5196.18	5171.00	5193.68	5147	0	34
2026.03.04	15:15:00	5193.82	5195.34	5179.10	5192.28	4567	0	34
2026.03.04	15:30:00	5192.33	5192.92	5181.85	5188.34	4517	0	34
2026.03.04	15:45:00	5188.29	5192.18	5167.29	5167.87	4543	0	34
2026.03.04	16:00:00	5167.88	5180.57	5163.84	5165.01	4841	0	34
2026.03.04	16:15:00	5165.00	5175.06	5160.12	5165.99	5123	0	34
2026.03.04	16:30:00	5166.02	5184.98	5163.02	5171.76	7222	0	34
2026.03.04	16:45:00	5171.75	5179.51	5138.56	5146.79	6968	0	34
2026.03.04	17:00:00	5145.15	5162.63	5131.19	5134.12	6863	0	34
2026.03.04	17:15:00	5133.59	5159.76	5132.52	5156.22	6851	0	34
2026.03.04	17:30:00	5156.13	5166.95	5137.59	5143.86	6461	0	34
2026.03.04	17:45:00	5143.83	5153.01	5133.27	5151.23	6043	0	34
2026.03.04	18:00:00	5151.28	5162.53	5143.36	5148.26	5659	0	34
2026.03.04	18:15:00	5148.34	5155.75	5138.17	5145.99	5999	0	34
2026.03.04	18:30:00	5145.97	5159.15	5143.91	5146.70	5520	0	34
2026.03.04	18:45:00	5146.75	5152.73	5142.88	5149.61	4683	0	34
2026.03.04	19:00:00	5149.60	5153.00	5142.90	5147.23	4553	0	34
2026.03.04	19:15:00	5147.20	5149.73	5120.35	5133.45	4830	0	34
2026.03.04	19:30:00	5133.67	5139.06	5128.31	5137.40	5095	0	34
2026.03.04	19:45:00	5137.45	5147.43	5135.57	5140.98	4337	0	34
2026.03.04	20:00:00	5141.05	5143.37	5117.67	5124.36	5266	0	34
2026.03.04	20:15:00	5124.45	5127.92	5110.88	5123.82	5359	0	34
2026.03.04	20:30:00	5123.85	5129.72	5109.19	5125.20	4446	0	34
2026.03.04	20:45:00	5125.20	5134.66	5123.77	5133.30	3143	0	34
2026.03.04	21:00:00	5133.55	5136.57	5126.10	5130.99	2805	0	34
2026.03.04	21:15:00	5131.59	5133.05	5124.44	5124.56	2909	0	34
2026.03.04	21:30:00	5124.52	5132.10	5123.21	5130.77	3410	0	34
2026.03.04	21:45:00	5130.78	5139.53	5129.58	5137.84	3397	0	34
2026.03.04	22:00:00	5137.76	5138.74	5126.82	5129.77	3430	0	34
2026.03.04	22:15:00	5129.86	5138.39	5123.54	5137.20	3507	0	34
2026.03.04	22:30:00	5137.31	5146.78	5136.89	5143.91	3221	0	34
2026.03.04	22:45:00	5143.87	5144.52	5132.85	5134.66	4211	0	34
2026.03.04	23:00:00	5135.22	5143.95	5133.77	5140.39	1858	0	35
2026.03.04	23:15:00	5140.00	5141.62	5136.20	5141.22	1336	0	45
2026.03.04	23:30:00	5141.30	5141.72	5129.29	5135.55	1403	0	45
2026.03.04	23:45:00	5135.35	5142.18	5134.90	5140.40	1300	0	45
2026.03.05	01:00:00	5146.43	5155.04	5144.79	5146.71	2181	0	45
2026.03.05	01:15:00	5146.56	5156.62	5146.29	5154.53	1450	0	35
2026.03.05	01:30:00	5154.54	5156.14	5148.67	5155.60	1146	0	35
2026.03.05	01:45:00	5155.65	5166.08	5154.89	5165.19	2085	0	35
2026.03.05	02:00:00	5165.15	5172.71	5159.40	5171.09	2276	0	35
2026.03.05	02:15:00	5171.17	5179.68	5170.59	5173.46	1749	0	35
2026.03.05	02:30:00	5173.23	5176.81	5168.56	5171.39	1533	0	35
2026.03.05	02:45:00	5171.40	5177.12	5166.20	5172.50	2258	0	35
2026.03.05	03:00:00	5172.56	5186.55	5169.82	5176.44	4332	0	35
2026.03.05	03:15:00	5176.45	5182.24	5172.43	5177.39	3939	0	35
2026.03.05	03:30:00	5177.45	5178.70	5167.17	5172.30	4369	0	35
2026.03.05	03:45:00	5172.28	5179.76	5169.21	5172.45	3885	0	35
2026.03.05	04:00:00	5172.28	5181.54	5171.49	5178.58	3849	0	35
2026.03.05	04:15:00	5178.54	5187.99	5176.36	5184.03	2905	0	35
2026.03.05	04:30:00	5184.04	5187.20	5174.56	5175.10	3511	0	35
2026.03.05	04:45:00	5175.43	5192.35	5174.38	5192.00	3303	0	35
2026.03.05	05:00:00	5191.99	5194.82	5183.91	5185.73	2932	0	35
2026.03.05	05:15:00	5185.74	5191.07	5184.51	5184.96	2836	0	35
2026.03.05	05:30:00	5184.98	5190.86	5181.19	5188.46	2241	0	35
2026.03.05	05:45:00	5188.47	5190.99	5178.31	5180.15	1890	0	35
2026.03.05	06:00:00	5180.02	5185.70	5176.90	5183.50	1680	0	35
2026.03.05	06:15:00	5183.54	5186.55	5174.71	5178.29	1906	0	35
2026.03.05	06:30:00	5178.23	5179.95	5173.88	5174.26	1496	0	35
2026.03.05	06:45:00	5174.24	5175.49	5166.35	5171.55	2063	0	35
2026.03.05	07:00:00	5171.57	5176.65	5169.09	5175.55	1941	0	35
2026.03.05	07:15:00	5175.53	5176.55	5169.83	5172.29	1787	0	35
2026.03.05	07:30:00	5172.28	5173.98	5161.89	5166.35	3620	0	35
2026.03.05	07:45:00	5166.19	5169.23	5148.24	5148.43	3963	0	35
2026.03.05	08:00:00	5148.52	5155.24	5120.72	5131.90	5543	0	35
2026.03.05	08:15:00	5132.36	5143.81	5124.26	5142.95	4419	0	35
2026.03.05	08:30:00	5142.96	5156.57	5140.29	5150.70	3782	0	35
2026.03.05	08:45:00	5150.74	5168.60	5148.94	5167.53	3645	0	35
2026.03.05	09:00:00	5167.54	5172.58	5161.37	5161.88	3517	0	34
2026.03.05	09:15:00	5161.89	5168.03	5159.84	5166.20	2807	0	34
2026.03.05	09:30:00	5166.24	5167.04	5159.58	5160.34	2933	0	34
2026.03.05	09:45:00	5160.33	5166.05	5158.64	5162.18	2924	0	34
2026.03.05	10:00:00	5162.17	5162.56	5141.82	5141.82	4425	0	34
2026.03.05	10:15:00	5141.77	5148.48	5137.52	5144.35	4249	0	34
2026.03.05	10:30:00	5144.40	5163.29	5143.57	5160.99	3634	0	34
2026.03.05	10:45:00	5160.97	5170.07	5160.97	5165.53	2930	0	34
2026.03.05	11:00:00	5165.51	5180.23	5161.38	5179.61	4948	0	34
2026.03.05	11:15:00	5179.63	5180.49	5167.03	5169.56	4227	0	34
2026.03.05	11:30:00	5169.57	5169.68	5153.80	5162.49	3551	0	34
2026.03.05	11:45:00	5162.50	5165.37	5157.28	5161.03	2896	0	34
2026.03.05	12:00:00	5161.00	5161.00	5146.14	5154.29	3190	0	34
2026.03.05	12:15:00	5154.27	5158.46	5151.49	5156.17	2716	0	34
2026.03.05	12:30:00	5156.05	5158.71	5147.69	5157.01	2698	0	34
2026.03.05	12:45:00	5157.02	5167.47	5156.57	5164.50	2588	0	34
2026.03.05	13:00:00	5164.63	5167.90	5161.47	5164.56	2249	0	34
2026.03.05	13:15:00	5164.61	5166.87	5160.99	5163.04	2054	0	34
2026.03.05	13:30:00	5163.01	5164.57	5156.90	5160.87	1962	0	34
2026.03.05	13:45:00	5160.83	5165.04	5160.31	5163.86	2051	0	34
2026.03.05	14:00:00	5163.93	5171.41	5163.10	5168.44	2557	0	34
2026.03.05	14:15:00	5168.46	5170.32	5161.91	5161.92	2320	0	34
2026.03.05	14:30:00	5161.89	5167.82	5160.89	5162.47	2004	0	34
2026.03.05	14:45:00	5162.45	5166.02	5160.91	5162.41	2139	0	34
2026.03.05	15:00:00	5162.50	5163.97	5146.50	5155.73	4986	0	34
2026.03.05	15:15:00	5155.74	5159.96	5084.77	5122.87	6688	0	35
2026.03.05	15:30:00	5122.64	5137.83	5114.83	5131.40	5223	0	34
2026.03.05	15:45:00	5131.34	5132.00	5109.71	5117.80	5156	0	34
2026.03.05	16:00:00	5117.71	5129.76	5110.07	5113.07	5408	0	34
2026.03.05	16:15:00	5112.97	5120.88	5102.80	5120.20	5549	0	34
2026.03.05	16:30:00	5120.21	5123.67	5090.76	5097.18	7307	0	34
2026.03.05	16:45:00	5097.12	5110.92	5091.22	5102.13	7119	0	34
2026.03.05	17:00:00	5102.07	5119.99	5061.94	5085.33	7294	0	34
2026.03.05	17:15:00	5085.32	5093.98	5072.10	5086.30	6744	0	34
2026.03.05	17:30:00	5086.36	5093.46	5077.55	5080.28	6636	0	34
2026.03.05	17:45:00	5080.28	5103.02	5079.48	5102.42	6131	0	34
2026.03.05	18:00:00	5102.43	5104.42	5074.24	5082.96	5895	0	34
