<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.05	19:00:00	5077.64	5089.50	5054.93	5062.82	22917	0	34
2026.03.05	20:00:00	5062.81	5085.38	5050.98	5069.26	22588	0	34
2026.03.05	21:00:00	5069.27	5081.11	5055.64	5065.96	19606	0	34
2026.03.05	22:00:00	5065.83	5094.73	5061.70	5076.57	22489	0	34
2026.03.05	23:00:00	5076.58	5084.93	5072.01	5082.25	6696	0	34
2026.03.06	01:00:00	5084.97	5101.62	5081.14	5086.18	8303	0	35
2026.03.06	02:00:00	5086.12	5092.15	5074.16	5084.39	9947	0	35
2026.03.06	03:00:00	5084.37	5143.28	5066.57	5134.68	18368	0	35
2026.03.06	04:00:00	5134.64	5138.53	5122.03	5126.24	12182	0	35
2026.03.06	05:00:00	5126.20	5141.34	5124.27	5131.02	8584	0	35
2026.03.06	06:00:00	5131.03	5136.27	5126.52	5127.50	5495	0	35
2026.03.06	07:00:00	5127.47	5130.03	5114.25	5117.03	9967	0	35
2026.03.06	08:00:00	5117.15	5122.86	5109.16	5115.85	9778	0	35
2026.03.06	09:00:00	5115.62	5120.72	5105.49	5119.55	9271	0	34
2026.03.06	10:00:00	5119.60	5122.85	5096.27	5108.50	10732	0	34
2026.03.06	11:00:00	5109.33	5109.33	5083.46	5085.63	13626	0	34
2026.03.06	12:00:00	5085.64	5092.83	5075.60	5091.00	12048	0	34
2026.03.06	13:00:00	5091.12	5099.85	5062.81	5077.01	12662	0	34
2026.03.06	14:00:00	5077.03	5096.66	5076.32	5083.16	13144	0	34
2026.03.06	15:00:00	5082.78	5131.16	5065.50	5084.99	24007	0	34
2026.03.06	16:00:00	5085.03	5132.38	5080.98	5130.41	26244	0	34
2026.03.06	17:00:00	5130.37	5171.44	5127.94	5141.91	27738	0	34
2026.03.06	18:00:00	5141.92	5153.04	5125.86	5139.96	21792	0	34
2026.03.06	19:00:00	5139.95	5152.43	5128.82	5140.76	19094	0	34
2026.03.06	20:00:00	5140.81	5167.61	5138.67	5161.10	16865	0	34
2026.03.06	21:00:00	5161.09	5174.48	5156.57	5159.75	13010	0	34
